entity_slug,parent_owner_slug,entity_kind,election_cycle,recipient_party,recipient_office,donations,total_amount
johnson-charles,,owner,2006,REP,,12,52000.0
johnson-charles,,owner,2008,,,5,24200.0
johnson-charles,,owner,2008,DEM,,2,3100.0
johnson-charles,,owner,2008,REP,,10,66300.0
johnson-charles,,owner,2010,,,4,19100.0
johnson-charles,,owner,2010,DEM,,1,2000.0
johnson-charles,,owner,2010,REP,,9,105600.0
johnson-charles,,owner,2012,,,4,232500.0
johnson-charles,,owner,2012,REP,,11,81600.0
johnson-charles,,owner,2014,,,7,33100.0
johnson-charles,,owner,2014,REP,,18,138300.0
johnson-charles,,owner,2016,,,12,2236900.0
johnson-charles,,owner,2016,REP,,69,717529.08
johnson-charles,,owner,2018,,,18,2718700.0
johnson-charles,,owner,2018,DEM,,1,2700.0
johnson-charles,,owner,2018,REP,,61,852495.0
johnson-charles,,owner,2020,,,22,2953800.0
johnson-charles,,owner,2020,REP,,131,987564.7
johnson-charles,,owner,2022,,,5,525000.0
johnson-charles,,owner,2022,REP,,131,578929.42
johnson-charles,,owner,2024,,,24,2881300.0
johnson-charles,,owner,2024,NNE,,2,6600.0
johnson-charles,,owner,2024,REP,,80,474198.19
johnson-charles,,owner,2026,,,16,1417100.0
johnson-charles,,owner,2026,REP,,73,945631.67
johnson-greg,,owner,2000,,,1,1000.0
johnson-greg,,owner,2002,,,1,1000.0
johnson-greg,,owner,2004,,,2,4000.0
johnson-greg,,owner,2004,REP,,1,2000.0
johnson-greg,,owner,2006,,,2,7000.0
johnson-greg,,owner,2006,REP,,1,2000.0
johnson-greg,,owner,2008,,,3,12000.0
johnson-greg,,owner,2008,DEM,,1,2000.0
johnson-greg,,owner,2008,REP,,4,21000.0
johnson-greg,,owner,2010,,,4,14000.0
johnson-greg,,owner,2010,REP,,6,12700.0
johnson-greg,,owner,2012,,,3,60000.0
johnson-greg,,owner,2012,REP,,8,59500.0
johnson-greg,,owner,2014,,,2,10000.0
johnson-greg,,owner,2014,REP,,9,10000.0
johnson-greg,,owner,2016,,,4,65000.0
johnson-greg,,owner,2016,DEM,,1,1000.0
johnson-greg,,owner,2016,REP,,14,64200.0
johnson-greg,,owner,2018,,,3,15000.0
johnson-greg,,owner,2018,REP,,9,20600.0
johnson-greg,,owner,2020,,,1,5000.0
johnson-greg,,owner,2020,REP,,5,14000.0
johnson-greg,,owner,2022,,,5,22500.0
johnson-greg,,owner,2024,,,7,25300.0
johnson-greg,,owner,2024,REP,,3,5650.0
johnson-greg,,owner,2026,,,3,13000.0
kendrick-ken,,owner,2000,,,3,80000.0
kendrick-ken,,owner,2000,REP,,3,21000.0
kendrick-ken,,owner,2002,,,6,82900.0
kendrick-ken,,owner,2002,REP,,6,6000.0
kendrick-ken,,owner,2004,REP,,14,57000.0
kendrick-ken,,owner,2006,,,3,9500.0
kendrick-ken,,owner,2006,REP,,7,47700.0
kendrick-ken,,owner,2008,,,3,37000.0
kendrick-ken,,owner,2008,REP,,18,88400.0
kendrick-ken,,owner,2010,,,4,9800.0
kendrick-ken,,owner,2010,REP,,23,103600.0
kendrick-ken,,owner,2012,,,2,5000.0
kendrick-ken,,owner,2012,REP,,23,118300.0
kendrick-ken,,owner,2014,,,9,23100.0
kendrick-ken,,owner,2014,DEM,,1,2600.0
kendrick-ken,,owner,2014,REP,,35,90500.0
kendrick-ken,,owner,2016,,,17,771300.0
kendrick-ken,,owner,2016,REP,,57,153100.0
kendrick-ken,,owner,2018,,,7,35500.0
kendrick-ken,,owner,2018,REP,,56,139400.0
kendrick-ken,,owner,2020,,,20,376800.0
kendrick-ken,,owner,2020,REP,,139,493701.0
kendrick-ken,,owner,2022,,,16,402900.0
kendrick-ken,,owner,2022,REP,,74,226800.0
kendrick-ken,,owner,2024,,,14,247100.0
kendrick-ken,,owner,2024,REP,,63,194699.99
kendrick-ken,,owner,2026,,,4,19500.0
kendrick-ken,,owner,2026,REP,,22,73300.0
lerner-mark,,owner,2000,REP,,1,500.0
lerner-mark,,owner,2002,,,1,250.0
lerner-mark,,owner,2002,DEM,,2,2000.0
lerner-mark,,owner,2004,DEM,,2,2500.0
lerner-mark,,owner,2004,REP,,3,2000.0
lerner-mark,,owner,2006,REP,,3,3125.0
lerner-mark,,owner,2008,,,4,7050.0
lerner-mark,,owner,2008,DEM,,1,1000.0
lerner-mark,,owner,2008,REP,,1,1250.0
lerner-mark,,owner,2010,,,2,5000.0
lerner-mark,,owner,2010,DEM,,5,3000.0
lerner-mark,,owner,2012,,,2,5000.0
lerner-mark,,owner,2012,DEM,,3,1900.0
lerner-mark,,owner,2014,,,2,5000.0
lerner-mark,,owner,2014,DEM,,2,1000.0
lerner-mark,,owner,2014,REP,,1,250.0
lerner-mark,,owner,2016,,,4,5712.5
lerner-mark,,owner,2016,DEM,,4,1750.0
lerner-mark,,owner,2018,,,2,5000.0
lerner-mark,,owner,2018,DEM,,2,1000.0
lerner-mark,,owner,2018,REP,,1,1250.0
lerner-mark,,owner,2020,,,1,2500.0
lerner-mark,,owner,2020,DEM,,2,1000.0
lerner-mark,,owner,2020,REP,,1,250.0
lerner-mark,,owner,2022,,,3,3750.0
lerner-mark,,owner,2022,DEM,,4,2700.0
lerner-mark,,owner,2024,,,1,2500.0
lerner-mark,,owner,2024,DEM,,4,2200.0
lerner-mark,,owner,2026,,,2,3100.0
lerner-mark,,owner,2026,DEM,,2,1200.0
malone-john,,owner,2004,REP,,2,2000.0
malone-john,,owner,2006,REP,,1,1000.0
malone-john,,owner,2008,,,6,87000.0
malone-john,,owner,2008,DEM,,1,1000.0
malone-john,,owner,2008,REP,,13,77050.0
malone-john,,owner,2010,,,2,6000.0
malone-john,,owner,2010,REP,,7,42200.0
malone-john,,owner,2012,,,4,265800.0
malone-john,,owner,2012,REP,,12,88300.0
malone-john,,owner,2014,,,2,10000.0
malone-john,,owner,2014,REP,,14,35600.0
malone-john,,owner,2016,,,17,115650.0
malone-john,,owner,2016,DEM,,1,2700.0
malone-john,,owner,2016,REP,,10,27900.0
malone-john,,owner,2018,,,1,50.0
malone-john,,owner,2018,REP,,1,2700.0
malone-john,,owner,2020,,,2,505000.0
malone-john,,owner,2022,,,1,5000.0
malone-john,,owner,2022,REP,,4,87100.0
malone-john,,owner,2024,REP,,1,3300.0
malone-john,,owner,2026,,,2,10000.0
mcguirk-terry,,owner,2000,,,2,1500.0
mcguirk-terry,,owner,2002,,,4,7000.0
mcguirk-terry,,owner,2002,REP,,1,1000.0
mcguirk-terry,,owner,2004,,,3,6000.0
mcguirk-terry,,owner,2004,DEM,,1,1000.0
mcguirk-terry,,owner,2006,REP,,1,1500.0
mcguirk-terry,,owner,2008,,,2,5300.0
mcguirk-terry,,owner,2008,REP,,1,2300.0
mcguirk-terry,,owner,2010,,,3,5000.0
mcguirk-terry,,owner,2012,,,2,4000.0
mcguirk-terry,,owner,2014,,,5,9200.0
mcguirk-terry,,owner,2014,REP,,2,1500.0
mcguirk-terry,,owner,2016,,,3,8000.0
mcguirk-terry,,owner,2018,,,2,4500.0
mcguirk-terry,,owner,2020,,,3,9300.0
mcguirk-terry,,owner,2020,REP,,2,5300.0
mcguirk-terry,,owner,2022,,,2,4500.0
mcguirk-terry,,owner,2024,,,2,5000.0
mcguirk-terry,,owner,2026,,,3,7000.0
middleton-john,,owner,2004,DEM,,1,1000.0
middleton-john,,owner,2008,,,2,24600.0
middleton-john,,owner,2008,REP,,11,40025.0
middleton-john,,owner,2010,,,2,7400.0
middleton-john,,owner,2010,REP,,6,22000.0
middleton-john,,owner,2012,,,1,50000.0
middleton-john,,owner,2012,REP,,6,32000.0
middleton-john,,owner,2014,,,1,5000.0
middleton-john,,owner,2014,REP,,1,2600.0
middleton-john,,owner,2016,,,2,5400.0
middleton-john,,owner,2016,REP,,1,2700.0
middleton-john,,owner,2018,,,2,10000.0
middleton-john,,owner,2020,,,1,5000.0
middleton-john,,owner,2020,DEM,,1,2800.0
middleton-john,,owner,2022,,,2,10000.0
middleton-john,,owner,2024,,,1,5000.0
middleton-john,,owner,2026,,,6,82869.97
middleton-john,,owner,2026,REP,,6,64500.0
monfort-charlie,,owner,2000,REP,,2,16000.0
monfort-charlie,,owner,2002,,,1,250.0
monfort-charlie,,owner,2002,REP,,4,8000.0
monfort-charlie,,owner,2004,REP,,5,38000.0
monfort-charlie,,owner,2006,REP,,9,49700.0
monfort-charlie,,owner,2008,REP,,3,11010.0
monfort-charlie,,owner,2016,REP,,1,5000.0
monfort-charlie,,owner,2022,,,26,11750.0
monfort-charlie,,owner,2022,REP,,8,422.5
monfort-charlie,,owner,2024,,,9,2111.0
monfort-charlie,,owner,2024,REP,,8,1867.5
monfort-charlie,,owner,2026,,,1,100.0
monfort-charlie,,owner,2026,DEM,,2,3000.0
monfort-dick,,owner,2000,REP,,6,7000.0
monfort-dick,,owner,2002,,,1,4000.0
monfort-dick,,owner,2002,REP,,12,22500.0
monfort-dick,,owner,2004,,,1,2000.0
monfort-dick,,owner,2004,REP,,28,71250.0
monfort-dick,,owner,2006,,,5,7100.0
monfort-dick,,owner,2006,DEM,,1,1000.0
monfort-dick,,owner,2006,REP,,18,74300.0
monfort-dick,,owner,2008,REP,,4,16300.0
monfort-dick,,owner,2010,REP,,1,500.0
monfort-dick,,owner,2012,,,1,500.0
monfort-dick,,owner,2012,REP,,3,2000.0
monfort-dick,,owner,2014,,,1,500.0
monfort-dick,,owner,2014,REP,,2,1500.0
monfort-dick,,owner,2016,REP,,4,14700.0
monfort-dick,,owner,2018,REP,,4,13700.0
monfort-dick,,owner,2020,,,1,5000.0
monfort-dick,,owner,2020,REP,,1,1000.0
monfort-dick,,owner,2022,,,2,10000.0
monfort-dick,,owner,2022,REP,,1,1000.0
monfort-dick,,owner,2024,,,2,10000.0
monfort-dick,,owner,2024,REP,,1,3300.0
monfort-dick,,owner,2026,,,2,10000.0
moreno-arte,,owner,2002,,,1,250.0
moreno-arte,,owner,2004,REP,,2,12000.0
moreno-arte,,owner,2006,REP,,1,500.0
moreno-arte,,owner,2008,REP,,7,5600.0
moreno-arte,,owner,2012,,,3,70000.0
moreno-arte,,owner,2012,REP,,12,75000.0
moreno-arte,,owner,2014,,,1,5000.0
moreno-arte,,owner,2014,DEM,,1,2600.0
moreno-arte,,owner,2014,REP,,3,7800.0
moreno-arte,,owner,2016,,,2,10000.0
moreno-arte,,owner,2018,,,3,15400.0
moreno-arte,,owner,2018,REP,,4,10800.0
moreno-arte,,owner,2020,,,3,15625.0
moreno-arte,,owner,2020,REP,,8,21800.0
moreno-arte,,owner,2022,,,2,10000.0
moreno-arte,,owner,2022,IND,,2,5800.0
moreno-arte,,owner,2022,REP,,5,11600.0
moreno-arte,,owner,2024,,,4,27500.0
moreno-arte,,owner,2024,REP,,5,12500.0
moreno-arte,,owner,2026,,,1,5000.0
moreno-arte,,owner,2026,REP,,3,5000.0
nutting-bob,,owner,2004,,,1,2000.0
nutting-bob,,owner,2006,,,2,5000.0
nutting-bob,,owner,2008,,,1,2500.0
nutting-bob,,owner,2010,,,3,10000.0
nutting-bob,,owner,2010,REP,,1,1000.0
nutting-bob,,owner,2012,,,2,10000.0
nutting-bob,,owner,2012,REP,,1,2500.0
nutting-bob,,owner,2014,,,2,10000.0
nutting-bob,,owner,2016,,,2,10000.0
nutting-bob,,owner,2018,,,2,10000.0
nutting-bob,,owner,2020,,,1,5000.0
nutting-bob,,owner,2022,,,2,10000.0
nutting-bob,,owner,2024,,,2,10000.0
nutting-bob,,owner,2026,,,1,5000.0
pohlad-joe,,owner,2008,DEM,,1,2300.0
pohlad-joe,,owner,2010,DEM,,2,2400.0
pohlad-joe,,owner,2012,DEM,,4,33352.0
pohlad-joe,,owner,2016,DEM,,6,37871.88
pohlad-joe,,owner,2018,,,4,13250.0
pohlad-joe,,owner,2018,DEM,,3,8100.0
pohlad-joe,,owner,2018,DFL,,5,12300.0
pohlad-joe,,owner,2020,,,7,164560.0
pohlad-joe,,owner,2020,DEM,,25,60100.0
pohlad-joe,,owner,2020,DFL,,5,12200.0
pohlad-joe,,owner,2022,,,3,43800.0
pohlad-joe,,owner,2022,DEM,,3,6800.0
pohlad-joe,,owner,2022,DFL,,2,5800.0
pohlad-joe,,owner,2024,,,5,41600.0
pohlad-joe,,owner,2024,DEM,,4,10900.0
pohlad-joe,,owner,2026,DEM,,6,9850.0
pohlad-tom,,owner,2008,,,1,28500.0
pohlad-tom,,owner,2008,DEM,,6,32400.0
pohlad-tom,,owner,2010,DEM,,1,1000.0
pohlad-tom,,owner,2012,,,3,95000.0
pohlad-tom,,owner,2012,DEM,,22,24063.0
pohlad-tom,,owner,2016,DEM,,5,6956.25
pohlad-tom,,owner,2018,,,5,18500.0
pohlad-tom,,owner,2018,DEM,,4,9450.0
pohlad-tom,,owner,2018,DFL,,4,9450.0
pohlad-tom,,owner,2020,,,3,61000.0
pohlad-tom,,owner,2020,DEM,,21,58370.0
pohlad-tom,,owner,2020,DFL,,2,5400.0
pohlad-tom,,owner,2022,,,2,5850.0
pohlad-tom,,owner,2022,DEM,,3,6000.0
pohlad-tom,,owner,2022,DFL,,2,5800.0
pohlad-tom,,owner,2022,NNE,,1,2900.0
pohlad-tom,,owner,2024,,,8,102400.0
pohlad-tom,,owner,2024,DEM,,11,17135.29
pohlad-tom,,owner,2024,DFL,,3,7600.0
pohlad-tom,,owner,2024,REP,,3,3435.35
pohlad-tom,,owner,2026,,,1,5000.0
reinsdorf-jerry,,owner,2000,,,3,7000.0
reinsdorf-jerry,,owner,2000,DEM,,5,7000.0
reinsdorf-jerry,,owner,2000,REP,,1,1000.0
reinsdorf-jerry,,owner,2002,,,12,33000.0
reinsdorf-jerry,,owner,2002,DEM,,7,5562.0
reinsdorf-jerry,,owner,2002,REP,,8,6200.0
reinsdorf-jerry,,owner,2004,,,3,7500.0
